code,level1,level2,level3,latitude,longitude
1100000000,서울특별시,,,37.5635694,126.9800083
1111000000,서울특별시,종로구,,37.5703778,126.9816417
1111051500,서울특별시,종로구,청운효자동,37.5841367,126.9706519
1111053000,서울특별시,종로구,사직동,37.5732694,126.9709556
1111054000,서울특별시,종로구,삼청동,37.5824250,126.9839778
1111055000,서울특별시,종로구,부암동,37.5898556,126.9664444
1111056000,서울특별시,종로구,평창동,37.6025222,126.9688778
1111057000,서울특별시,종로구,무악동,37.5715389,126.9612083
1111058000,서울특별시,종로구,교남동,37.5690750,126.9641000
1111060000,서울특별시,종로구,가회동,37.5772528,126.9869111
1111061500,서울특별시,종로구,종로1.2.3.4가동,37.5678861,126.9910667
1111063000,서울특별시,종로구,종로5.6가동,37.5692111,127.0071556
1111064000,서울특별시,종로구,이화동,37.5742139,127.0063972
1111065000,서울특별시,종로구,혜화동,37.5839889,127.0026222
1111067000,서울특별시,종로구,창신제1동,37.5679361,127.0184639
1111068000,서울특별시,종로구,창신제2동,37.5716444,127.0129639
1111069000,서울특별시,종로구,창신제3동,37.5750472,127.0171639
1111070000,서울특별시,종로구,숭인제1동,37.5750278,127.0176639
1111071000,서울특별시,종로구,숭인제2동,37.5720361,127.0220556
1114000000,서울특별시,중구,,37.5610028,126.9996417
1114052000,서울특별시,중구,소공동,37.5596306,126.9791083
1114054000,서울특별시,중구,회현동,37.5544833,126.9814444
1114055000,서울특별시,중구,명동,37.5572361,126.9878889
1114057000,서울특별시,중구,필동,37.5573528,126.9977111
1114058000,서울특별시,중구,장충동,37.5591167,127.0099333
1114059000,서울특별시,중구,광희동,37.5617306,127.0071639
1114060500,서울특별시,중구,을지로동,37.5639000,126.9934306
1114061500,서울특별시,중구,신당동,37.5593111,127.0166333
1114062500,서울특별시,중구,다산동,37.5516167,127.0103083
1114063500,서울특별시,중구,약수동,37.5496583,127.0110861
1114064500,서울특별시,중구,청구동,37.5542583,127.0167889
1114065000,서울특별시,중구,신당제5동,37.5623306,127.0239667
1114066500,서울특별시,중구,동화동,37.5572278,127.0215417
1114067000,서울특별시,중구,황학동,37.5646639,127.0234972
1114068000,서울특별시,중구,중림동,37.5520333,126.9666000
1117000000,서울특별시,용산구,,37.5360944,126.9675222
1117051000,서울특별시,용산구,후암동,37.5458806,126.9802667
1117052000,서울특별시,용산구,용산2가동,37.5431194,126.9875639
1117053000,서울특별시,용산구,남영동,37.5428333,126.9769667
1117055500,서울특별시,용산구,청파동,37.5425556,126.9720417
1117056000,서울특별시,용산구,원효로제1동,37.5358694,126.9683417
1117057000,서울특별시,용산구,원효로제2동,37.5315917,126.9535778
1117058000,서울특별시,용산구,효창동,37.5389528,126.9633972
1117059000,서울특별시,용산구,용문동,37.5362500,126.9596639
1117062500,서울특별시,용산구,한강로동,37.5262417,126.9715333
1117063000,서울특별시,용산구,이촌제1동,37.5184028,126.9753556
1117064000,서울특별시,용산구,이촌제2동,37.5240306,126.9563306
1117065000,서울특별시,용산구,이태원제1동,37.5294917,126.9970417
1117066000,서울특별시,용산구,이태원제2동,37.5379722,126.9918444
1117068500,서울특별시,용산구,한남동,37.5318861,127.0026444
1117069000,서울특별시,용산구,서빙고동,37.5176056,126.9967778
1117070000,서울특별시,용산구,보광동,37.5234639,127.0023333
1120000000,서울특별시,성동구,,37.5606111,127.0390000
1120052000,서울특별시,성동구,왕십리제2동,37.5583361,127.0327111
1120053500,서울특별시,성동구,왕십리도선동,37.5677544,127.0255591
1120054000,서울특별시,성동구,마장동,37.5634333,127.0475639
1120055000,서울특별시,성동구,사근동,37.5584056,127.0479556
1120056000,서울특별시,성동구,행당제1동,37.5553528,127.0380778
1120057000,서울특별시,성동구,행당제2동,37.5555750,127.0315333
1120058000,서울특별시,성동구,응봉동,37.5503472,127.0354972
1120059000,서울특별시,성동구,금호1가동,37.5520694,127.0239444
1120061500,서울특별시,성동구,금호2.3가동,37.5531880,127.0208590
1120062000,서울특별시,성동구,금호4가동,37.5444722,127.0244750
1120064500,서울특별시,성동구,옥수동,37.5437170,127.0134630
1120065000,서울특별시,성동구,성수1가제1동,37.5389583,127.0519861
1120066000,서울특별시,성동구,성수1가제2동,37.5435278,127.0463639
1120067000,서울특별시,성동구,성수2가제1동,37.5367028,127.0562000
1120069000,서울특별시,성동구,성수2가제3동,37.5454306,127.0573333
1120072000,서울특별시,성동구,송정동,37.5517278,127.0717083
1120079000,서울특별시,성동구,용답동,37.5613667,127.0574333
1121500000,서울특별시,광진구,,37.5357389,127.0845333
1121571000,서울특별시,광진구,화양동,37.5437861,127.0734639
1121573000,서울특별시,광진구,군자동,37.5523528,127.0779972
1121574000,서울특별시,광진구,중곡제1동,37.5578417,127.0821639
1121575000,서울특별시,광진구,중곡제2동,37.5574750,127.0835444
1121576000,서울특별시,광진구,중곡제3동,37.5659167,127.0822528
1121577000,서울특별시,광진구,중곡제4동,37.5625111,127.0893528
1121578000,서울특별시,광진구,능동,37.5510278,127.0826444
1121581000,서울특별시,광진구,광장동,37.5442139,127.1053083
1121582000,서울특별시,광진구,자양제1동,37.5316861,127.0844194
1121583000,서울특별시,광진구,자양제2동,37.5260000,127.0866000
1121584000,서울특별시,광진구,자양제3동,37.5310333,127.0750306
1121584700,서울특별시,광진구,자양제4동,37.5374861,127.0672528
1121585000,서울특별시,광진구,구의제1동,37.5396750,127.0878667
1121586000,서울특별시,광진구,구의제2동,37.5444389,127.0921083
1121587000,서울특별시,광진구,구의제3동,37.5361389,127.0996889
1123000000,서울특별시,동대문구,,37.5716250,127.0421417
1123051500,서울특별시,동대문구,신설동,37.5739660,127.0257363
1123053300,서울특별시,동대문구,용두동,37.5758032,127.0372470
1123054500,서울특별시,동대문구,제기동,37.5830767,127.0377843
1123056000,서울특별시,동대문구,전농제1동,37.5752111,127.0498667
1123057000,서울특별시,동대문구,전농제2동,37.5817028,127.0538639
1123060000,서울특별시,동대문구,답십리제1동,37.5692750,127.0542222
1123061000,서울특별시,동대문구,답십리제2동,37.5691528,127.0615750
1123065000,서울특별시,동대문구,장안제1동,37.5649861,127.0684778
1123066000,서울특별시,동대문구,장안제2동,37.5684083,127.0753083
1123070500,서울특별시,동대문구,청량리동,37.5862586,127.0472767
1123071000,서울특별시,동대문구,회기동,37.5880083,127.0574889
1123072000,서울특별시,동대문구,휘경제1동,37.5901583,127.0678194
1123073000,서울특별시,동대문구,휘경제2동,37.5884944,127.0696556
1123074000,서울특별시,동대문구,이문제1동,37.5950000,127.0676306
1123075000,서울특별시,동대문구,이문제2동,37.5917306,127.0586194
1126000000,서울특별시,중랑구,,37.6038056,127.0947778
1126052000,서울특별시,중랑구,면목제2동,37.5869833,127.0811333
1126054000,서울특별시,중랑구,면목제4동,37.5718167,127.0876222
1126055000,서울특별시,중랑구,면목제5동,37.5830472,127.0817222
1126056500,서울특별시,중랑구,면목본동,37.5845611,127.0896778
1126057000,서울특별시,중랑구,면목제7동,37.5762000,127.0890861
1126057500,서울특별시,중랑구,면목제3.8동,37.5802361,127.0902194
1126058000,서울특별시,중랑구,상봉제1동,37.5970278,127.0892889
1126059000,서울특별시,중랑구,상봉제2동,37.5896111,127.0853889
1126060000,서울특별시,중랑구,중화제1동,37.5983861,127.0827778
1126061000,서울특별시,중랑구,중화제2동,37.5922167,127.0770222
1126062000,서울특별시,중랑구,묵제1동,37.6096222,127.0805861
1126063000,서울특별시,중랑구,묵제2동,37.6067972,127.0781444
1126065500,서울특별시,중랑구,망우본동,37.5986917,127.1084639
1126066000,서울특별시,중랑구,망우제3동,37.5895778,127.1002667
1126068000,서울특별시,중랑구,신내1동,37.6030833,127.1015528
1126069000,서울특별시,중랑구,신내2동,37.6034306,127.0962750
1129000000,서울특별시,성북구,,37.5863833,127.0203333
1129052500,서울특별시,성북구,성북동,37.5874417,127.0060861
1129055500,서울특별시,성북구,삼선동,37.5828472,127.0095556
1129057500,서울특별시,성북구,동선동,37.5912778,127.0225083
1129058000,서울특별시,성북구,돈암제1동,37.6005083,127.0282889
